,year,gini,extreme_poverty_rate,middle_poverty_rate,poverty_gap,polarization,mld,palma_ratio,mean,median,decile_ratio,clusters
120,2020,0.4348194399066175,0.76359499840081,17.86462131523222,0.16274921448288,0.3875600924803514,0.3240920607947104,2.242540621381292,15.673774292871594,11.219497918553346,16.405382809212547,light pink
121,2020,0.4379413696975235,4.43261508946134,32.90005256577495,1.38546058314981,0.3943484141032622,0.3442468827366681,2.2874536727497,10.796310721910352,7.835965986192532,19.033327348738105,dark purple
122,2018,0.3781170617851155,4.65934957441152,58.70531700914376,0.75089157707641,0.3289221276622436,0.2338587797344325,1.6584465102188102,6.349897349882263,4.767794199402147,10.113144165957598,dark purple
123,2019,0.3023947236495212,0.0,2.63066513590643,0.0,0.2509371738725027,0.150102130385177,1.1297374051697502,20.499294694592407,17.24107751987634,6.653029793605884,light pink
124,2019,0.3276274723608108,0.14872061714375,1.53393539133948,0.0594687580983584,0.2613755380003192,0.185238749687825,1.2769434958058743,35.26192495123064,29.427643189885668,9.172791463434715,light pink
125,2019,0.3480420009767005,2.16407661653183,10.92671820369678,0.75655513996358,0.3045281619714073,0.2394442472360216,1.3811891570040324,21.466862201043767,19.02761031808756,14.108057347479507,light pink
126,2020,0.3602980921663823,0.0101642723413573,2.91024084747044,0.001476598637035,0.2965255870525571,0.2138533928900638,1.52329229046481,19.63872618705688,15.173121531191232,9.438212300881537,light pink
127,2016,0.4371004775710726,52.00539340040897,92.18761979459453,18.34816298533801,0.3618749064156014,0.3185718873321976,2.2505757793046,3.086795568975547,2.073804885235722,14.629584728256885,peach
128,2016,0.5123330781386317,5.12280497053847,25.343328860626567,2.76019684750259,0.4594117512969143,0.5087580002008527,3.4867791427212933,20.05330722114429,13.04601164425108,42.71484699400447,dark purple
129,2013,0.3873180976093429,1.13994794347489,33.90326857278886,0.14146806103662,0.3142412803320212,0.2485572616470665,1.7482986216409342,9.36457475034063,6.953232817088473,11.432478974566108,dark purple
130,2017,0.407495920046912,15.551899477593173,79.7261860061015,3.86533774704573,0.3325404096154094,0.2774769273911023,1.9533439932024448,5.461850640931948,4.002456662447955,12.811457065753272,pink
131,2018,0.3812247243714418,9.33548494973649,74.35052953797955,1.7690065978309002,0.3272086459854164,0.238168763676325,1.6994124784872435,5.964489053451096,4.436309553237865,10.276780852607937,pink
132,2019,0.2895324609279349,0.0452318337305764,10.62667401009228,0.0006243216348422,0.2450018834713575,0.1407878414580456,1.035914424868319,15.290704072289088,13.20072283190764,6.728822020159701,light pink
133,2018,0.3212531971098883,0.51100400760189,6.708552980644001,0.1128940014186599,0.2816751978415926,0.1844735986659696,1.2168150548938907,22.256336840234408,19.502148960648988,9.294706302268027,light pink
134,2018,0.3569017755923102,26.062034121157,89.9439310539709,6.040989653605481,0.2880027887902658,0.2082157543833284,1.5024241415539568,3.885886325019997,2.95926711744628,8.769943900280674,pink
135,2019,0.2323232449754634,0.11811626194862,1.97777187373687,0.0250310530128091,0.1852054767086667,0.1009916174141772,0.7552238116861183,26.043639309178538,24.76243440066504,5.28904692783637,light pink
136,2019,0.2438423243774182,0.0,0.14029659407208,0.0,0.1928103486016018,0.1010619110864463,0.8364454510703941,43.449783190139925,39.50083549494682,4.9115324764009385,light purple
137,2012,0.3705492697316315,24.65794899446652,84.45964715013187,6.63474053833508,0.306490135983659,0.2293498587183826,1.5940072460878432,3.6929462577659593,2.847993535824852,10.605940635646949,pink
139,2014,0.6302607272842364,20.48492024065575,61.62114252163619,6.86617473135913,0.787680133442224,0.7503489772447178,7.065051979280324,11.947530692877017,4.755202130941437,58.91331074731334,dark purple
141,2016,0.3140485646808573,0.22666514266768,0.73709368826352,0.044828791243713,0.2608012421114956,0.1757269047084756,1.171429388428785,42.88083326330386,37.33464578345079,8.551393092505403,light purple
142,2016,0.4414412815221023,76.50378291222809,97.83291692687187,40.88137903170768,0.4055923044870373,0.3462421732051138,2.66457460766279,1.4814011238214546,1.0478366336552951,26.528933820851897,peach
143,2019,0.3430583682060838,0.79381342452812,2.77390312205815,0.5663680883272,0.2968669778986966,0.2336317726029295,1.3449954011406495,46.86613490741824,40.29141365441041,12.233633825221167,light purple
144,2016,0.3934577335702165,0.94536914439895,41.965450620913856,0.11337301445522,0.3108817656583682,0.2555487844956409,1.8160186017938216,8.496518068378178,6.170867326898343,10.9103531048116,dark purple
